FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,
Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
116,60.05,60.79,64.36,66.78,75.11,82.39,91.32,327.21,53.49,327.21,115.92,179.30,145.89,160.53,66.12,145.89,160.53
117,60.65,61.43,65.01,68.01,75.72,83.70,92.79,329.82,54.35,329.82,115.93,179.31,146.89,161.57,66.33,146.89,161.57
118,61.28,62.68,65.08,68.21,76.34,83.71,93.62,332.42,55.20,332.42,115.94,179.32,147.97,162.57,67.88,147.97,162.57
119,61.93,62.75,65.74,68.60,76.99,84.37,94.73,337.23,56.02,337.23,115.95,179.33,149.04,163.54,68.07,149.04,163.54
120,63.00,63.92,66.42,69.24,77.61,85.03,94.85,340.00,56.89,340.00,115.96,179.34,150.05,164.48,70.76,150.05,164.48
121,63.69,64.28,67.11,69.73,78.10,85.50,95.28,342.26,57.72,342.26,118.63,185.83,151.14,165.40,70.77,151.14,165.40
122,64.13,64.89,67.77,70.35,78.72,86.84,96.06,345.17,58.59,345.17,118.64,185.84,152.20,166.31,70.78,152.20,166.31
123,64.78,64.96,69.14,70.95,79.34,87.06,96.81,348.11,59.41,348.11,118.65,185.85,153.22,167.27,71.59,153.22,167.27
124,65.40,66.22,69.85,71.60,79.99,87.48,97.54,351.01,60.23,351.01,118.66,185.87,154.27,168.18,73.18,154.27,168.18
125,66.06,66.23,69.88,72.22,80.60,88.15,98.28,353.94,61.11,353.94,118.67,185.88,155.32,169.15,73.36,155.32,169.15
126,67.32,67.52,71.93,72.69,81.07,89.28,100.80,356.14,61.95,356.14,121.05,192.43,156.44,170.05,74.96,156.44,170.05
127,67.39,67.55,71.95,73.31,81.69,89.29,100.81,359.04,62.77,359.04,121.06,192.47,157.45,171.02,75.12,157.45,171.02
128,68.02,68.04,72.66,73.95,82.93,90.89,102.31,361.96,63.63,361.96,121.07,192.48,158.53,172.06,76.00,158.53,172.06
129,69.31,69.57,73.36,74.59,82.94,90.90,102.32,364.87,64.46,364.87,121.08,192.49,159.58,173.06,76.85,159.58,173.06
130,69.34,69.58,74.03,75.16,83.54,91.22,102.86,367.78,65.94,367.78,121.10,192.50,160.62,174.10,78.52,160.62,174.10
131,69.97,70.02,74.95,75.68,83.99,92.33,103.87,371.75,66.77,371.75,123.69,197.70,161.67,176.21,78.63,161.67,176.21
132,70.64,71.38,74.96,76.29,84.62,92.34,104.38,374.66,67.00,374.66,123.70,197.71,162.75,176.22,79.52,162.75,176.22
133,71.29,71.49,75.45,76.90,85.22,92.98,104.72,377.59,67.83,377.59,123.71,197.72,163.77,177.24,80.38,163.77,177.24
134,71.94,72.04,76.20,77.56,85.87,93.62,105.17,380.53,68.72,380.53,123.72,197.73,164.84,178.29,81.26,164.84,178.29
135,72.49,73.46,76.87,78.20,86.57,94.31,106.68,383.41,69.55,383.41,123.73,197.74,165.90,179.23,82.91,165.90,179.23
136,73.10,74.33,78.86,78.87,87.26,95.00,106.71,386.33,70.38,386.33,126.23,204.05,166.99,180.17,83.70,166.99,180.17
137,73.73,74.34,79.43,79.44,87.77,95.59,107.42,389.28,71.24,389.28,126.24,204.06,169.07,181.11,83.91,169.07,181.11
138,74.40,75.52,80.59,80.85,89.32,97.30,109.37,392.18,72.08,392.18,126.26,204.07,169.08,182.02,84.78,169.08,182.02
139,75.08,76.28,80.60,80.86,89.59,97.31,109.38,395.10,72.91,395.10,126.27,204.08,170.12,182.92,85.65,170.12,182.92
140,75.74,76.50,80.62,81.50,90.04,97.72,109.69,397.86,73.78,397.86,126.28,204.09,172.19,183.89,87.37,172.19,183.89
141,76.41,77.00,82.11,82.15,90.54,98.21,110.24,399.84,74.60,399.84,128.66,210.93,172.20,184.80,88.23,172.20,184.80
142,76.72,77.72,82.12,82.81,91.22,98.89,110.96,402.67,75.43,402.67,128.67,210.94,173.27,185.78,88.26,173.27,185.78
